Offizieller_Name;streetAddress;postalCode;addressLocality;Telefon;Email;Fax;Internet;Handelsregister;Rechtsform;Hauptsitz;Firmengründung;Inhaber;Geschäftsführung;Branche;Unternehmensgegendstand;Umsatzsteuer-Id;Mitarbeiter;Stammkapital
Gemeindewerke Kleinblittersdorf GmbH + Co. KG;Rathausstrasse 15;66271;Kleinblittersdorf;+49 (06805) 20080;n/a;+49 (06805) 2008980;n/a;HRA 9347, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Kleinblittersdorf;n/a;n/a;n/a;Wirtschaftsverbände und Arbeitgeberverbände;n/a;n/a;n/a;n/a
Gemeindewerke Kleinblittersdorf Geschäftsführungsgesellschaft mbH;Rathausstrasse 15;66271;Kleinblittersdorf;+49 (06805) 20080;n/a;+49 (06805) 2008980;n/a;HRB 14219, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
Gesundbrunnen Bad Rilchingen GmbH + Co. KG;Von-der-Leyen-Strasse 7a-8;66271;Kleinblittersdorf;+49 (06805) 94010;gesund@aol.com;+49 (06805) 940130;n/a;HRA 10064, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Kleinblittersdorf;n/a;n/a;n/a;Grosshandel mit Wein, Sekt und Spirituosen;n/a;n/a;n/a;n/a
Günter Heidt GmbH Installation + Heizungsbau;Max-Planck-Strasse 9;66271;Kleinblittersdorf;+49 (06805) 1809;n/a;+49 (06805) 7310;n/a;HRB 6324, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Klempnerei, Gasinstallation, Wasserinstallation, Heizungsinstallation und Lüftungsinstallation;n/a;n/a;n/a;n/a
H.S. Werkzeuge-Pietschke GmbH;Im Brachalmet 11;66271;Kleinblittersdorf;+49 (06805) 94020;info@hs-werkzeuge.de;+49 (06805) 940290;www.hs-werkzeuge.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Hügel Wasserschaden-Service GmbH;Wintringer Strasse 43;66271;Kleinblittersdorf;+49 (0681) 878000;n/a;+49 (0681) 874707;n/a;HRB 7757, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Sonstige wirtschaftliche Dienstleistungen;n/a;n/a;n/a;n/a
Huy Bauunternehmung GmbH;Auf dem Bies 8;66271;Kleinblittersdorf;+49 (06805) 22693;n/a;+49 (06805) 2070363;n/a;HRB 15162, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Bau von Strassen, Bahnstrecken, Rollbahnen und Sportanlagen;n/a;n/a;n/a;n/a
INDRUBA Drucklufttechnik GmbH;Rudolf-Diesel-Strasse oN;66271;Kleinblittersdorf;+49 (06805) 4055;info@indruba.de;+49 (06805) 5208;www.indruba.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Josef KARR GmbH;Bliesgersweilermühle 12;66271;Kleinblittersdorf;+49 (0681) 985750;josefkarr@karr-leasing.com;+49 (0681) 9857520;n/a;HRB 8555, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Finanzierungsinstitutionen;n/a;n/a;n/a;n/a
MB-Tronic GmbH;Grebelsweg 31 a;66271;Kleinblittersdorf;+49 (06805) 5038;mb-tronic-gmbh@web.de;+49 (06805) 61345;n/a;HRB 15488, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Handelsvermittlung von Maschinen und technischem Bedarf (ohne Landmaschinen und Büromaschinen);n/a;n/a;n/a;n/a
MOSER GmbH;Lothringer Strasse 10;66271;Kleinblittersdorf;+49 (06805) 2392;n/a;+49 (06805) 2392;n/a;HRB 5651, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Fliesenleger, Plattenleger und Mosaikleger;n/a;n/a;n/a;n/a
Niederländer GmbH;Im Weidenacker 2;66271;Kleinblittersdorf;+49 (06805) 942280;n/a;+49 (06805) 942282;n/a;HRB 14304, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Maler und Lackierer;n/a;n/a;n/a;n/a
Nutrition Outlet GmbH;Konrad-Adenauer-Strasse 15 a;66271;Kleinblittersdorf;+49 (06805) 913460;n/a;+49 (06805) 913462;n/a;HRB 13939, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Grosshandel mit Nahrungsmitteln, a.n.g.;n/a;n/a;n/a;n/a
OSL Leasing GmbH;Bergstrasse 20;66271;Kleinblittersdorf;+49 (06805) 4426;n/a;+49 (06805) 4426;n/a;HRB 10660, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Leasinggesellschaften;n/a;n/a;n/a;n/a
Pro Service Germany Ltd.;Sitterswalderstrasse 2;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRB 17061, Amtsgericht Saarbrücken;Ltd.: Limited;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Rio Rent GmbH;Saarbrücker Strasse 128;66271;Kleinblittersdorf;+49 (06805) 90890;n/a;+49 (06805) 908926;n/a;HRB 10000, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Sachverständige;n/a;n/a;n/a;n/a
RIO - Überdachungstechnik Handelsgesellschaft mbH;Bliesgersweiler Mühle 10;66271;Kleinblittersdorf;+49 (06805) 1061;storexrio@aol.com;+49 (06805) 908926;n/a;HRB 7200, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Sonstige Bauinstallation;n/a;n/a;n/a;n/a
St. Lukas Apotheke - Inhaber: Anne-Sophie Müller e.K.;Fechingerstrasse 16;66271;Kleinblittersdorf;+49 (06805) 3420;n/a;+49 (06805) 21607;n/a;HRA 9384, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf;n/a;Anne-Sophie Müller;n/a;Apotheken;n/a;n/a;n/a;n/a
ST ServoTec Ltd.;Rudolf-Diesel-Strasse;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRB 16862, Amtsgericht Saarbrücken;Ltd.: Limited;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Taxi Schlicker GmbH;Marktplatz 3;66271;Kleinblittersdorf;+49 (06805) 3352;n/a;+49 (06805) 912166;n/a;HRB 13623, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Taxis, Chauffeur- und Limousinenservice;n/a;n/a;n/a;n/a
Tekoc Radtke + Co. GmbH;Römerring 16;66271;Kleinblittersdorf;+49 (06805) 909806;n/a;+49 (06805) 3312;n/a;HRB 32887, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Grosshandel mit Rohstoffen, Halbwaren und Fertigwaren;n/a;n/a;n/a;n/a
videotronic infosystems saar-lor-lux GmbH;Am Brichelberg 5;66271;Kleinblittersdorf;+49 (06805) 927292;vertrieb@videotronicsaar-lor-lux.de;+49 (06805) 927293;www.videotronicsaar-lor-lux.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Werner Adam GmbH;Max-Planck-Strasse 10;66271;Kleinblittersdorf;+49 (06805) 615061;n/a;+49 (06805) 615494;n/a;HRB 11125, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Motorradhandel + Motorradwerkstätten, Handel mit Motorradteilen und Motorradzubehör;n/a;n/a;n/a;n/a
NTN Autohandelsgesellschaft mbH;Saarbrücker Strasse 128;66271;Kleinblittersdorf;+49 (06805) 21065;ntn-auto@t-online.de;+49 (06805) 21984;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Autohandel und Kfz-Handel (Nutzfahrzeuge, LKW etc.);n/a;n/a;n/a;n/a
R. Degott GmbH;Waldstrasse 13;66271;Kleinblittersdorf;+49 (06805) 1864;bestattungen-degott@t-online.de;+49 (06805) 1417;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Bestattungsinstitute, Bestatter;n/a;n/a;n/a;n/a
Time Job Management GmbH + Co. KG;Saargemünder Strasse 96;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRA 10492, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Kleinblittersdorf;n/a;n/a;n/a;Büroservice und Copyshops;n/a;n/a;n/a;n/a
Weinhandelsgesellschaft Omlor mbH;Am Brichelberg 5;66271;Kleinblittersdorf;+49 (06805) 908060;weinomlor@aol.com;+49 (06805) 908061;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Grosshandel mit Wein, Sekt und Spirituosen;n/a;n/a;n/a;n/a
Axel Blatt KG;Wintringer Strasse 7a;66271;Kleinblittersdorf;+49 (06805) 913352;n/a;n/a;n/a;HRA 10049, Amtsgericht Saarbrücken;KG: Kommanditgesellschaft;Kleinblittersdorf (Ortsteil Brebach-Fechingen);n/a;n/a;n/a;Gartenbau;n/a;n/a;n/a;n/a
Fahrschule SCHWABEN GmbH;Bliesstrasse 32;66271;Kleinblittersdorf;+49 (06805) 5487;n/a;n/a;n/a;HRB 14774, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Fahrschulen;n/a;n/a;n/a;n/a
Geschäftsführungsgesellschaft Rudolf Dahlem mbH;Ringstrasse 37;66271;Kleinblittersdorf;+49 (06805) 92990;n/a;+49 (06805) 929926;n/a;HRB 6750, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Holding- und Beteiligungsgesellschaften;n/a;n/a;n/a;n/a
motosraras GmbH;Bliesgersweiler Mühle 7 b;66271;Kleinblittersdorf;+49 (06805) 21263;n/a;n/a;n/a;HRB 15519, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Motorradhandel + Motorradwerkstätten, Handel mit Motorradteilen und Motorradzubehör;n/a;n/a;n/a;n/a
Trade Estate GmbH;Saarbrücker Strasse 116;66271;Kleinblittersdorf;+49 (06805) 20070;n/a;n/a;n/a;HRB 15254, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Immobilien-Vermittlung für Dritte;n/a;n/a;n/a;n/a
ARIES GmbH;Kapellenstrasse 18;66271;Kleinblittersdorf;+49 (06805) 913260;n/a;+49 (06805) 913261;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Buchführung;n/a;n/a;n/a;n/a
CSG Recycling GmbH;An der Saarfahrt 2a;66271;Kleinblittersdorf;+49 (06805) 5423;n/a;+49 (06805) 615272;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Recycling;n/a;n/a;n/a;n/a
Der Saar-Spezialist Vertriebsgesellschaft mbH;Scherbachstrasse 67;66271;Kleinblittersdorf;+49 (0681) 35190;n/a;+49 (0681) 3904403;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Versandhandel;n/a;n/a;n/a;n/a
D.L.S.I. GmbH;Saargemünder Strasse 141;66271;Kleinblittersdorf;+49 (06805) 60010;n/a;+49 (06805) 600113;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Personalvermittlung, Arbeitsvermittlung, Personalservice, Zeitarbeit;n/a;n/a;n/a;n/a
Eicker GmbH Gips- + Putzarbeiten;Saarbrücker Strasse 96;66271;Kleinblittersdorf;+49 (06805) 7075;n/a;+49 (06805) 1689;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Stukkateure, Gipser und Verputzer;n/a;n/a;n/a;n/a
Erich Brach + Albert Nickles Palettenhandel OHG;Saarbrücker Strasse 121;66271;Kleinblittersdorf;+49 (06805) 22318;n/a;+49 (06805) 22618;n/a;n/a;OHG: Offene Handelsgesellschaft;Kleinblittersdorf;n/a;n/a;n/a;Grosshandel mit Bauelementen aus Holz und sonstigen Holzhalbwaren;n/a;n/a;n/a;n/a
Fliesen Adam GmbH;Hochwaldstrasse 27;66271;Kleinblittersdorf;+49 (06805) 7183;n/a;+49 (06805) 7152;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Fliesenleger, Plattenleger und Mosaikleger;n/a;n/a;n/a;n/a
GATRANS Giessler + Acker Transport GmbH;Keltenstrasse 10;66271;Kleinblittersdorf;+49 (06805) 8784;n/a;+49 (06805) 22521;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Transporte, Güterbeförderung im Strassenverkehr;n/a;n/a;n/a;n/a
Gebrüder Mammo-Zagarella GmbH;Saarbrücker Strasse 8;66271;Kleinblittersdorf;+49 (06805) 207610;n/a;+49 (06805) 930950;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Reparatur von Schuhen und Lederwaren, Schuhmacher;n/a;n/a;n/a;n/a
HITSCH Transport Dienstleistungs GmbH;Sitterswalder Strasse 35;66271;Kleinblittersdorf;+49 (06805) 615932;n/a;+49 (06805) 615933;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Transporte, Güterbeförderung im Strassenverkehr;n/a;n/a;n/a;n/a
Josef Breyer GmbH;Eduard-Mörike-Strasse 67;66271;Kleinblittersdorf;+49 (06805) 7171;n/a;+49 (06805) 22225;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Bliesransbach);n/a;n/a;n/a;Transporte, Güterbeförderung im Strassenverkehr;n/a;n/a;n/a;n/a
Jürgen Rosar GmbH Büro für angewandte Mathematik + Datenverarbeitung;Rebenstrasse 56;66271;Kleinblittersdorf;+49 (06805) 3028;n/a;+49 (06805) 1098;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Datenverarbeitung;n/a;n/a;n/a;n/a
Jung + Huy Bauunternehmung GmbH;Auf dem Bies 8;66271;Kleinblittersdorf;+49 (06805) 22693;n/a;+49 (06805) 2070363;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt;n/a;n/a;n/a;n/a
Leo Thiry GmbH;Pastor-Brach-Strasse 14;66271;Kleinblittersdorf;+49 (06805) 8434;n/a;+49 (06805) 941844;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Sonstige Personenbeförderung im Landverkehr;n/a;n/a;n/a;n/a
Linden-Apotheke Patric Zilch e.k.;Elsässer Strasse 14;66271;Kleinblittersdorf;+49 (06805) 8300;n/a;+49 (06805) 2938;n/a;n/a;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf;n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
MK Energietechnischer Handel GmbH;Jahnstrasse 1;66271;Kleinblittersdorf;+49 (06805) 1261;n/a;+49 (06805) 22563;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Bliesransbach);n/a;n/a;n/a;Einzelhandel mit Eisenwaren, Werkzeugen, Metallwaren und Kunststoffwaren;n/a;n/a;n/a;n/a
N. Hector GmbH;Am Bahnhof;66271;Kleinblittersdorf;+49 (06805) 21015;n/a;+49 (06805) 7753;n/a;HRB 4041, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Quack, Lackierung + Design GmbH;Am Brichelberg 9;66271;Kleinblittersdorf;+49 (06805) 22000;n/a;+49 (06805) 2413;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Maler und Lackierer;n/a;n/a;n/a;n/a
Rio Rent Zeltvermietung GmbH;Am Brichelberg 15;66271;Kleinblittersdorf;+49 (06805) 22388;n/a;+49 (06805) 908926;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Verleih von Gebrauchsgütern;n/a;n/a;n/a;n/a
Rudolf Loew GmbH;An der Gehlbach 4;66271;Kleinblittersdorf;+49 (06805) 94070;n/a;+49 (06805) 940720;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Sitterswald);n/a;n/a;n/a;Einzelhandel mit Geschirr und Glaswaren;n/a;n/a;n/a;n/a
St. Lukas Apotheke Anja Teusch e.K.;Fechinger Strasse 16;66271;Kleinblittersdorf;+49 (06805) 3420;n/a;+49 (06805) 21607;n/a;n/a;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf (Ortsteil Bliesransbach);n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
W. Krauser GmbH;Elsässer Strasse 36;66271;Kleinblittersdorf;+49 (06805) 1373;n/a;+49 (06805) 22327;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Reparatur von Schuhen und Lederwaren, Schuhmacher;n/a;n/a;n/a;n/a
Zimmermann Putz GmbH;Am Brichelberg 3;66271;Kleinblittersdorf;+49 (06805) 8053;zimmermann.putz@sybmail.de;+49 (06805) 8056;n/a;HRB 4980, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Stukkateure, Gipser und Verputzer;n/a;n/a;n/a;n/a
Brenn- + Baustoffe Otto Kaden;Goethestrasse 9;66271;Kleinblittersdorf;+49 (06805) 1206;n/a;+49 (06805) 600497;n/a;n/a;n/a;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Grosshandel mit festen Brennstoffen, Mineralöl und Mineralölerzeugnissen;n/a;n/a;n/a;n/a
Franz Boesen;Fechinger Strasse 28a;66271;Kleinblittersdorf;+49 (06805) 8570;n/a;+49 (06805) 8570;n/a;n/a;n/a;Kleinblittersdorf (Ortsteil Bliesransbach);n/a;n/a;n/a;Spielhallen und Automatenaufsteller;n/a;n/a;n/a;n/a
Frikato Chemie GmbH;Grebelsweg 4;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRB 15875, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Gartenbau und Landschaftsbau (Galabau);n/a;n/a;n/a;n/a
G.D.V. Vermögensverwaltungsgesellschaft mbH;Kapellenstrasse 18;66271;Kleinblittersdorf;+49 (06805) 92960;n/a;+49 (06805) 929692;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Vermögensberater und sonstige Vermögensberatung;n/a;n/a;n/a;n/a
GNT GmbH;Am Holzplatz 7;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRB 18481, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Herstellung von Elektrizitätsverteilungseinrichtungen und -schalteinrichtungen;n/a;n/a;n/a;n/a
Heid + Partner GmbH;Hochstrasse 17;66271;Kleinblittersdorf;+49 (06805) 21136;heidundpartner.gmbh@t-online.de;+49 (06805) 2070250;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Kriete Ökologische Produkte GmbH;Lothringerstrasse 11;66271;Kleinblittersdorf;+49 (06805) 912414;ddiesinger@aol.com;+49 (06805) 912415;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
KWZ Herstellung und Vertrieb von Spezialpaletten GmbH;Goethestrasse 5;66271;Kleinblittersdorf;+49 (06805) 4049;kwz-zinsius@t-online.de;+49 (06805) 61266;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Martin Brach GmbH;Ringstrasse 46;66271;Kleinblittersdorf;+49 (06805) 1304;elektrobrach@aol.com;+49 (06805) 2652;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Paul Birster e.K.;Elsässer Strasse 10;66271;Kleinblittersdorf;+49 (06805) 7295;n/a;n/a;n/a;HRA 7058, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf;n/a;n/a;n/a;Einzelhandel mit Schreibwaren, Schulbedarf und Bürobedarf;n/a;n/a;n/a;n/a
Physiotherapie -Rehapraxis Paul Weyandt GmbH;Alte Schulstrasse 7;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRB 15870, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;Massagepraxen, Physiotherapie, Hebammen und verwandte Berufe;n/a;n/a;n/a;n/a
RIO-Überdachungstechnik Handelsgesellschaft mbH;Saarbrücker Strasse 128;66271;Kleinblittersdorf;+49 (06805) 1061;storexrio@aol.com;+49 (06805) 908926;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Saar-Apotheke Dr. Lothar Schild;Elsässer Strasse 1;66271;Kleinblittersdorf;+49 (06805) 91120;n/a;+49 (06805) 911222;n/a;n/a;n/a;Kleinblittersdorf;n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
SRLS GmbH + Co. KG;Lise-Meitner-Weg 1;66271;Kleinblittersdorf;n/a;n/a;n/a;n/a;HRA 9920, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Börsenmakler, Vermittlung und Verwaltung von Aktien, Investments und Fondsprodukten;n/a;n/a;n/a;n/a
SRLS Verwaltungsgesellschaft mbH;Lise-Meitner-Weg 1;66271;Kleinblittersdorf;+49 (06805) 94120;n/a;+49 (06805) 941279;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
St. Barbara-Apotheke Detlef Rostaing;Saarlandstrasse 32a;66271;Kleinblittersdorf;+49 (06805) 3000;n/a;+49 (06805) 218016;n/a;n/a;n/a;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
Der Saar-Spezialist und Jahresteller, Briefmarken- Münzen -Geschenkartikel-Vertriebsgesellschaft mbH;Scherbachstrasse 67;66271;Kleinblittersdorf;+49 (0681) 35190;n/a;n/a;n/a;HRB 6429, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Geddes Grant Management GmbH;Kapellenstrasse 18;66271;Kleinblittersdorf;+49 (02251) 148175;n/a;n/a;n/a;HRB 14920, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Auersmacher);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
B + G Fammels e.K.;Dr. Kirbs-Strasse 15;66271;Kleinblittersdorf;+49 (06805) 99141;n/a;+49 (06805) 99142;n/a;n/a;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Fairconsult e.K.;Römerstrasse 24;66271;Kleinblittersdorf;+49 (06805) 911644;n/a;+49 (06805) 911645;n/a;n/a;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf (Ortsteil Bliesransbach);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Loew GmbH;An der Gehlbach 4;66271;Kleinblittersdorf;+49 (06805) 99067;n/a;+49 (06805) 99068;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Sitterswald);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
N+W D. Norheimer GmbH;Max-Planck-Strasse 14;66271;Kleinblittersdorf;+49 (06805) 615225;n/a;+49 (06805) 615227;n/a;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Kleinblittersdorf (Ortsteil Rilchingen-Hanweiler);n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Peter Klein Bodenleger - Inhaber: Peter Klein e.K.;Eschringer Strasse 29;66271;Kleinblittersdorf;+49 (06805) 1429;n/a;n/a;n/a;n/a;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Kleinblittersdorf (Ortsteil Bliesransbach);n/a;Peter Klein;n/a;n/a;n/a;n/a;n/a;n/a
